325,Leon Bailey,JAM,"FW,MF",25
326,Douglas Luiz,BRA,MF,24
327,Jacob Ramsey,ENG,MF,21
328,John McGinn,SCO,MF,28
329,Boubacar Kamara,FRA,MF,23
330,Lucas Digne,FRA,DF,29
331,Emi Buendía,ARG,"MF,FW",26
332,Ashley Young,ENG,DF,37
333,Matty Cash,POL,DF,25
334,Danny Ings,ENG,FW,30
335,Philippe Coutinho,BRA,"MF,FW",30
336,Leander Dendoncker,BEL,MF,27
337,Robin Olsen,SWE,GK,33
338,Diego Carlos,BRA,DF,29
339,Álex Moreno,ESP,DF,29
340,Calum Chambers,ENG,"DF,MF",28
341,Jan Bednarek,POL,DF,26
342,Ludwig Augustinsson,SWE,DF,28
343,Cameron Archer,ENG,"FW,MF",21
344,Morgan Sanson,FRA,MF,28
345,Jhon Durán,COL,FW,19
346,Lamare Bogarde,NED,MF,19
347,Tim Iroegbunam,ENG,MF,19
348,Filip Marshall,ENG,GK,19
349,Marvelous Nakamba,ZIM,MF,29
350,Viljami Sinisalo,FIN,GK,21
351,Kadan Young,ENG,MF,17
352,Vicente Guaita,ESP,GK,36
353,Marc Guéhi,ENG,DF,22
354,Wilfried Zaha,CIV,"FW,MF",30
355,Cheick Doucouré,MLI,MF,23
356,Eberechi Eze,ENG,"MF,FW",24
357,Jeffrey Schlupp,GHA,MF,30
358,Joachim Andersen,DEN,DF,26
359,Jordan Ayew,GHA,"FW,MF",31
360,Tyrick Mitchell,ENG,DF,23
361,Joel Ward,ENG,DF,33
362,Michael Olise,FRA,"MF,FW",21
363,Nathaniel Clyne,ENG,DF,31
364,Odsonne Édouard,FRA,"FW,MF",25
365,Jean-Philippe Mateta,FRA,FW,25
366,Chris Richards,USA,DF,22
367,Will Hughes,ENG,MF,27
368,Luka Milivojević,SRB,MF,31
369,James Tomkins,ENG,DF,33
370,Jaïro Riedewald,NED,"DF,FW",26
371,Malcolm Ebiowei,ENG,"MF,FW",19
372,Albert Sambi Lokonga,BEL,MF,23
373,Naouirou Ahamada,FRA,MF,20
374,David Ozoh,,FW,17
375,Kofi Balmer,NIR,DF,22
376,Jack Butland,ENG,GK,29
377,Owen Goodman,ENG,GK,19
378,John-Kymani Gordon,ENG,FW,19
379,Sam Johnstone,ENG,GK,29
380,Killian Phillips,IRL,DF,20
381,Luke Plange,ENG,FW,20
382,Kaden Rodney,ENG,MF,18
383,Jack Wells-Morrison,ENG,MF,18
384,Joseph Whitworth,ENG,GK,18
385,Brennan Johnson,WAL,FW,21
386,Dean Henderson,ENG,GK,25
387,Morgan Gibbs-White,ENG,"MF,FW",23
388,Scott McKenna,SCO,DF,26
389,Ryan Yates,ENG,MF,25
390,Remo Freuler,SUI,MF,30
391,Neco Williams,WAL,DF,21
392,Joe Worrall,ENG,DF,26
393,Renan Lodi,BRA,DF,24
394,Serge Aurier,CIV,DF,30
395,Steve Cook,ENG,DF,31
396,Jesse Lingard,ENG,"FW,MF",30
397,Taiwo Awoniyi,NGA,FW,25
398,Cheikhou Kouyaté,SEN,"MF,DF",33
399,Orel Mangala,BEL,MF,24
400,Willy Boly,CIV,DF,32
401,Harry Toffolo,ENG,DF,27
402,Lewis O'Brien,ENG,MF,24
403,Emmanuel Dennis,NGA,FW,25
404,Wayne Hennessey,WAL,GK,36
405,Moussa Niakhate,FRA,DF,26
406,Chris Wood,NZL,FW,31
407,Jack Colback,ENG,MF,33
408,Sam Surridge,ENG,FW,24
409,Gustavo Scarpa,BRA,MF,29
410,Danilo,BRA,MF,21
411,Keylor Navas,CRC,GK,36
412,Giulian Biancone,FRA,DF,22
413,Alexander Mighten,ENG,FW,20
414,Cafú,POR,MF,29
415,André Ayew,GHA,FW,33
416,Loïc Bade,FRA,DF,22
417,Felipe,BRA,DF,33
418,Oliver Hammond,WAL,MF,20
419,Loïc Mbe Soh,FRA,DF,21
420,Jordan Smith,ENG,GK,28
421,Dale Taylor,NIR,FW,19
422,Lyle Taylor,MSR,FW,32
423,Danny Ward,WAL,GK,29
424,Timothy Castagne,BEL,DF,27
425,Youri Tielemans,BEL,MF,25
426,Harvey Barnes,ENG,"MF,FW",25
427,Kiernan Dewsbury-Hall,ENG,MF,24
428,Daniel Amartey,GHA,DF,28
429,Wout Faes,BEL,DF,24
430,James Justin,ENG,DF,24
431,James Maddison,ENG,"MF,FW",26
432,Boubakary Soumaré,FRA,MF,23
433,Jamie Vardy,ENG,FW,36
434,Wilfred Ndidi,NGA,"MF,DF",26
435,Jonny Evans,NIR,DF,35
436,Patson Daka,ZAM,FW,24
437,Luke Thomas,ENG,DF,21
438,Dennis Praet,BEL,MF,28
439,Ayoze Pérez,ESP,"MF,FW",29
440,Kelechi Iheanacho,NGA,"FW,MF",26
441,Nampalys Mendy,SEN,MF,30
442,Wesley Fofana,FRA,DF,22
443,Marc Albrighton,ENG,"FW,MF",33
444,Harry Souttar,AUS,DF,24
445,Tetê,BRA,FW,22
446,Victor Bernth Kristiansen,DEN,DF,20
447,Çağlar Söyüncü,TUR,DF,26
448,Lewis Brunt,ENG,DF,22
449,Sammy Braybroke,MEX,MF,0
450,Samuel Braybrooke,ENG,MF,18
451,Daniel Iversen,DEN,GK,25
