Player,club_name,Nation,Pos,Age,MP,Gls,Ast
Robin Zentner,Mainz 05,GER,GK,28,15,0,0
Silvan Widmer,Mainz 05,SUI,DF,29,16,2,0
Alexander Hack,Mainz 05,GER,DF,29,15,0,0
Edimilson Fernandes,Mainz 05,SUI,DF,26,17,0,2
Lee Jae-sung,Mainz 05,KOR,MF,30,19,4,1
Anton Stach,Mainz 05,GER,MF,24,17,1,3
Stefan Bell,Mainz 05,GER,DF,31,15,0,0
Leandro Barreiro Martins,Mainz 05,LUX,MF,23,17,0,1
Anthony Caci,Mainz 05,FRA,DF,25,16,1,1
Marcus Ingvartsen,Mainz 05,DEN,"FW,MF",27,13,6,0
Maxim Leitsch,Mainz 05,GER,DF,24,9,0,0
Jonathan Burkardt,Mainz 05,GER,"MF,FW",22,11,1,2
Angelo Fulgini,Mainz 05,FRA,MF,26,16,0,1
Danny da Costa,Mainz 05,GER,DF,29,10,0,1
Finn Dahmen,Mainz 05,GER,GK,24,4,0,0
Andreas Hanche-Olsen,Mainz 05,NOR,DF,26,3,0,0
Aymen Barkok,Mainz 05,MAR,MF,24,10,0,1
Ludovic Ajorque,Mainz 05,REU,FW,28,3,0,0
Delano Burgzorg,Mainz 05,NED,"FW,MF",24,10,0,1
Niklas Tauer,Mainz 05,GER,"DF,MF",21,3,0,0
Suliman Mustapha,Mainz 05,AUT,"FW,MF",21,5,0,0
Brajan Gruda,Mainz 05,GER,MF,18,2,0,0
Nelson Weiper,Mainz 05,GER,MF,17,1,0,0
Ben Bobzien,Mainz 05,GER,FW,19,0,0,0
Lasse Finn Rieß,Mainz 05,GER,GK,21,0,0,0
Anderson Lucoqui,Mainz 05,ANG,DF,25,0,0,0
Matondo-Merveille Papela,Mainz 05,GER,MF,22,0,0,0
Eniss Shabani,Mainz 05,GER,MF,19,0,0,0
Jeffrey Gouweleeuw,Augsburg,NED,DF,31,18,0,0
Elvis Rexhbeçaj,Augsburg,GER,MF,25,18,0,0
Ermedin Demirović,Augsburg,BIH,"MF,FW",24,18,6,2
Rafał Gikiewicz,Augsburg,POL,GK,35,15,0,0
Robert Gumny,Augsburg,POL,DF,24,15,1,1
Iago,Augsburg,BRA,"DF,MF",25,13,0,1
Mergim Berisha,Augsburg,GER,FW,24,13,6,4
Maximilian Bauer,Augsburg,GER,DF,22,15,0,0
Carlos Gruezo,Augsburg,ECU,MF,27,13,0,0
Mads Pedersen,Augsburg,DEN,"DF,MF",26,16,0,0
Florian Niederlechner,Augsburg,GER,"FW,MF",32,14,4,1
Arne Maier,Augsburg,GER,MF,24,15,1,0
Ohis Felix Uduokhai,Augsburg,GER,DF,25,11,0,1
Fredrik Jensen,Augsburg,FIN,"MF,FW",25,14,1,1
Ruben Vargas,Augsburg,SUI,"MF,FW",24,12,1,1
André Hahn,Augsburg,GER,"FW,MF",32,7,2,0
Arne Engels,Augsburg,BEL,MF,19,4,0,2
Tomáš Koubek,Augsburg,CZE,GK,30,4,0,0
Dion Drena Beljo,Augsburg,CRO,FW,20,4,0,0
Julian Baumgartlinger,Augsburg,AUT,MF,35,7,0,0
Daniel Caligiuri,Augsburg,ITA,"DF,MF",35,11,1,0
Raphael Framberger,Augsburg,GER,"DF,FW",27,3,0,0
Ricardo Pepi,Augsburg,USA,FW,20,4,0,0
Reece Oxford,Augsburg,ENG,DF,24,3,0,0
Frederik Winther,Augsburg,DEN,DF,22,1,0,1
Lukas Petkov,Augsburg,GER,"MF,FW",22,7,0,0
Kelvin Yeboah,Augsburg,ITA,"FW,MF",22,4,0,1
Irvin Cardona,Augsburg,FRA,MF,25,1,0,0
Niklas Dorsch,Augsburg,GER,MF,25,3,0,0
David Čolina,Augsburg,CRO,"DF,MF",22,2,1,0
Noah Joel Sarenren Bazee,Augsburg,NGA,FW,26,1,0,0
Aaron Zehnter,Augsburg,GER,DF,18,1,0,0
Felix Götze,Augsburg,GER,"DF,MF",24,0,0,0
Daniel Katić,Augsburg,CRO,DF,19,0,0,0
Daniel Klein,Augsburg,GER,GK,21,0,0,0
Josué-Emanuel M'bila,Augsburg,ANG,MF,23,0,0,0
Maurice Malone,Augsburg,GER,"FW,MF",22,0,0,0
Nathanael Mbuku,Augsburg,FRA,MF,20,0,0,0
Oliver Baumann,Hoffenheim,GER,GK,32,19,0,0
Christoph Baumgartner,Hoffenheim,AUT,"MF,FW",23,19,5,3
Angeliño,Hoffenheim,ESP,DF,26,18,0,5
Ozan Kabak,Hoffenheim,TUR,DF,22,17,2,2
Dennis Geiger,Hoffenheim,GER,MF,24,16,1,2
Kevin Vogt,Hoffenheim,GER,DF,31,15,0,0
Robert Skov,Hoffenheim,DEN,DF,26,16,3,2
Andrej Kramarić,Hoffenheim,CRO,"MF,FW",31,18,5,3
Grischa Prömel,Hoffenheim,GER,MF,28,13,1,1
Georginio Rutter,Hoffenheim,FRA,FW,20,15,2,2
Stanley N'Soki,Hoffenheim,FRA,DF,23,13,0,0
Kevin Akpoguma,Hoffenheim,NGA,DF,27,15,0,0
Pavel Kadeřábek,Hoffenheim,CZE,"DF,FW",30,16,1,0
Moanes Dabbur,Hoffenheim,ISR,FW,30,13,5,0
Sebastian Rudy,Hoffenheim,GER,MF,32,13,0,1
Angelo Stiller,Hoffenheim,GER,MF,21,13,0,1
Jacob Bruun Larsen,Hoffenheim,DEN,FW,24,11,1,0
Ihlas Bebou,Hoffenheim,TOG,"FW,DF",28,4,2,0
Tom Bischof,Hoffenheim,GER,"MF,FW",17,5,0,0
John Brooks,Hoffenheim,USA,DF,30,2,0,0
Kasper Dolberg,Hoffenheim,DEN,FW,25,4,0,0
Muhammed Damar,Hoffenheim,GER,MF,18,5,0,0
Eduardo Simões,Hoffenheim,POR,DF,20,4,0,0
Thomas Delaney,Hoffenheim,DEN,MF,31,1,0,0
Diadie Samassékou,Hoffenheim,MLI,"MF,FW",27,2,0,0
Stefan Posch,Hoffenheim,AUT,DF,25,1,0,0
Ermin Bičakčić,Hoffenheim,BIH,DF,33,2,0,0
Umut Tohumcu,Hoffenheim,GER,MF,18,1,0,0
Fisnik Asllani,Hoffenheim,KVX,"FW,MF",20,3,0,0
Finn Ole Becker,Hoffenheim,GER,MF,22,2,0,0
Joshua Quarshie,Hoffenheim,GER,MF,18,1,0,0
Justin Che,Hoffenheim,USA,DF,19,0,0,0
Nahuel Noll,Hoffenheim,GER,GK,19,0,0,0
Philipp Pentke,Hoffenheim,GER,GK,37,0,0,0
Luca Philipp,Hoffenheim,GER,GK,22,0,0,0
Manuel Riemann,Bochum,GER,GK,34,19,0,0
Anthony Losilla,Bochum,FRA,MF,36,19,0,2
Kevin Stöger,Bochum,AUT,MF,29,18,1,1
Philipp Hofmann,Bochum,GER,FW,29,19,7,1
Ivan Ordets,Bochum,UKR,DF,30,17,0,0
Cristian Gamboa,Bochum,CRC,DF,33,15,0,0
Simon Zoller,Bochum,GER,FW,31,17,3,1
Danilo Soares,Bochum,BRA,DF,31,14,0,0
Philipp Förster,Bochum,GER,MF,28,16,2,5
Erhan Mašović,Bochum,SRB,"DF,MF",24,15,2,0
Gerrit Holtmann,Bochum,PHI,FW,27,16,1,1
Takuma Asano,Bochum,JPN,"FW,MF",28,10,1,0
Christopher Antwi-Adjei,Bochum,GHA,"FW,MF",29,14,2,6
Vassilis Lambropoulos,Bochum,GRE,DF,32,10,0,0
Saidy Janko,Bochum,GAM,DF,27,11,0,0
Jordi Osei-Tutu,Bochum,ENG,"FW,DF",24,15,0,0
Kostas Stafylidis,Bochum,GRE,"MF,DF",29,9,0,2
Dominique Heintz,Bochum,GER,DF,29,4,0,0
Patrick Osterhage,Bochum,GER,"MF,FW",23,12,0,0
Keven Schlotterbeck,Bochum,GER,DF,25,4,1,0
Tim Oermann,Bochum,GER,DF,19,4,0,0
Jacek Góralski,Bochum,POL,MF,30,3,0,0
Pierre Kunde,Bochum,CMR,MF,27,3,1,0
Jannes Horn,Bochum,GER,"DF,FW",26,2,0,0
Silvère Ganvoula M'Boussy,Bochum,CGO,FW,26,11,0,0
Moritz Broschinski,Bochum,GER,FW,22,1,1,0
Tarsis Bonga,Bochum,GER,MF,26,0,0,0
Michael Esser,Bochum,GER,GK,35,0,0,0
Marko Johansson,Bochum,SWE,GK,24,0,0,0
Lys Mousset,Bochum,FRA,"FW,MF",27,0,0,0
Mohammed Tolba,Bochum,GER,DF,18,0,0,0
Florian Müller,Stuttgart,GER,GK,25,19,0,0
Waldemar Anton,Stuttgart,GER,DF,26,19,1,0
Wataru Endo,Stuttgart,JPN,MF,29,18,3,1
Naouirou Ahamada,Stuttgart,FRA,MF,20,17,2,2
Hiroki Ito,Stuttgart,JPN,DF,23,17,0,1
Konstantinos Mavropanos,Stuttgart,GRE,DF,25,16,2,1
Silas Katompa,Stuttgart,COD,"FW,DF",24,16,3,2
Chris Führich,Stuttgart,GER,"FW,MF",25,18,3,0
Sehrou Guirassy,Stuttgart,GUI,FW,26,13,6,0
Tiago Tomás,Stuttgart,POR,"FW,MF",20,15,2,2
Borna Sosa,Stuttgart,CRO,"DF,MF",25,13,0,5
Atakan Karazor,Stuttgart,GER,MF,26,16,0,0
Josha Vagnoman,Stuttgart,GER,"DF,MF",22,11,0,0
Luca Pfeiffer,Stuttgart,GER,FW,26,13,0,0
Dan-Axel Zagadou,Stuttgart,FRA,DF,23,6,0,0
Nikolas Nartey,Stuttgart,DEN,"DF,MF",22,6,0,0
Enzo Millot,Stuttgart,FRA,MF,20,11,0,0
Pascal Stenzel,Stuttgart,GER,DF,26,10,0,1
Sasa Kalajdzic,Stuttgart,AUT,FW,25,3,0,3
Lilian Egloff,Stuttgart,GER,"MF,FW",20,10,0,0
Juan Perea,Stuttgart,COL,"FW,DF",22,11,0,0
Genki Haraguchi,Stuttgart,JPN,MF,31,1,0,0
Thomas Kastanaras,Stuttgart,GRE,"FW,DF",20,4,0,0
Gil Bastião Dias,Stuttgart,POR,FW,26,1,0,0
Tanguy Coulibaly,Stuttgart,FRA,"DF,FW",21,2,0,0
Darko Churlinov,Stuttgart,MKD,FW,22,1,0,0
Clinton Mola,Stuttgart,ENG,DF,21,1,0,0
Lauren Ulrich,Stuttgart,GER,MF,18,1,0,0
Alou Kuol,Stuttgart,AUS,FW,22,1,0,0
Antonis Aidonis,Stuttgart,GER,DF,21,0,0,0
Fabian Bredlow,Stuttgart,GER,GK,27,0,0,0
Nicolas Glaus,Stuttgart,SUI,GK,20,0,0,0
Mattis Hoppe,Stuttgart,GER,DF,19,0,0,0
Mateo Klimowicz,Stuttgart,GER,MF,22,0,0,0
Leon Reichardt,Stuttgart,GER,DF,18,0,0,0
Oliver Christensen,Hertha BSC,DEN,GK,23,19,0,0
Marc-Oliver Kempf,Hertha BSC,GER,DF,28,19,0,0
Lucas Tousart,Hertha BSC,FRA,MF,25,18,2,0
Jonjoe Kenny,Hertha BSC,ENG,DF,25,18,0,1
Dodi Lukebakio,Hertha BSC,BEL,"FW,MF",25,18,7,1
Suat Serdar,Hertha BSC,GER,MF,25,18,4,0
Marvin Plattenhardt,Hertha BSC,GER,DF,31,16,0,2
Wilfried Kanga,Hertha BSC,CIV,FW,24,17,2,0
Ivan Šunjić,Hertha BSC,CRO,MF,26,15,0,0
Marco Richter,Hertha BSC,GER,"MF,FW",25,16,3,2
Agustín Rogel,Hertha BSC,URU,DF,25,10,0,0
Chidera Ejuke,Hertha BSC,NGA,"FW,MF",25,15,0,3
Filip Uremović,Hertha BSC,CRO,DF,25,10,0,0
Jean-Paul Boëtius,Hertha BSC,NED,MF,28,14,0,0
Maximilian Mittelstädt,Hertha BSC,GER,DF,25,10,0,0
Stevan Jovetić,Hertha BSC,MNE,"FW,MF",33,8,1,2
Davie Selke,Hertha BSC,GER,FW,28,13,1,1
Márton Dárdai,Hertha BSC,GER,DF,20,7,0,0
Derry Scherhant,Hertha BSC,GER,FW,20,5,0,0
Kevin-Prince Boateng,Hertha BSC,GHA,MF,35,9,0,0
Florian Niederlechner,Hertha BSC,GER,FW,32,2,0,0
Myziane Maolida,Hertha BSC,FRA,"FW,MF",23,3,0,0
Peter Pekarík,Hertha BSC,SVK,DF,36,3,0,0
Jessic Ngankam,Hertha BSC,GER,"MF,FW",22,4,0,0
Tolga Ciğerci,Hertha BSC,TUR,MF,30,1,0,0
Vladimír Darida,Hertha BSC,CZE,MF,32,3,0,0
Julian Eitschberger,Hertha BSC,GER,MF,18,0,0,0
Tjark Ernst,Hertha BSC,GER,GK,19,0,0,0
Linus Gechter,Hertha BSC,GER,DF,18,0,0,0
Rune Jarstein,Hertha BSC,NOR,GK,38,0,0,0
Robert Kwasigroch,Hertha BSC,GER,GK,18,0,0,0
Deyovaisio Zeefuik,Hertha BSC,NED,DF,24,0,0,0
Maya Yoshida,Schalke 04,JPN,DF,34,19,0,0
Tom Krauß,Schalke 04,GER,MF,21,19,1,0
Alexander Schwolow,Schalke 04,GER,GK,30,17,0,0
Marius Bülter,Schalke 04,GER,"FW,MF",29,19,3,0
Cédric Brunner,Schalke 04,SUI,DF,28,16,0,0
Simon Terodde,Schalke 04,GER,FW,34,19,3,0
Alex Král,Schalke 04,CZE,MF,24,14,0,0
Henning Matriciani,Schalke 04,GER,DF,22,10,0,0
Dominick Drexler,Schalke 04,GER,"MF,FW",32,15,2,3
Thomas Ouwejan,Schalke 04,NED,DF,26,11,0,1
Tobias Mohr,Schalke 04,GER,"DF,MF",27,12,0,2
Florian Flick,Schalke 04,GER,MF,22,8,0,0
Jordan Larsson,Schalke 04,SWE,"FW,MF",25,11,0,0
Sebastian Polter,Schalke 04,GER,"FW,MF",31,14,1,2
Danny Latza,Schalke 04,GER,MF,33,12,0,0
Florent Mollet,Schalke 04,FRA,MF,31,9,1,0
Rodrigo Zalazar,Schalke 04,URU,"MF,FW",23,9,1,0
Kenan Karaman,Schalke 04,TUR,FW,28,10,0,0
Sepp van den Berg,Schalke 04,NED,DF,21,4,0,0
Soichiro Kozuki,Schalke 04,JPN,"FW,MF",22,4,1,0
Jere Uronen,Schalke 04,FIN,DF,28,4,0,0
Malick Thiaw,Schalke 04,GER,DF,21,3,0,0
Leo Greiml,Schalke 04,AUT,DF,21,4,0,0
Ralf Fährmann,Schalke 04,GER,GK,34,2,0,0
Moritz Jenz,Schalke 04,GER,DF,23,2,0,0
Tim Skarke,Schalke 04,GER,"MF,FW",26,2,0,0
Mehmet-Can Aydin,Schalke 04,GER,DF,20,9,0,0
Michael Frey,Schalke 04,SUI,FW,28,4,0,1
Marcin Kamiński,Schalke 04,POL,DF,31,1,0,0
Éder Álvarez Balanta,Schalke 04,COL,MF,29,1,0,0
Kerim Calhanoglu,Schalke 04,GER,DF,20,3,0,0
Andreas Ivan,Schalke 04,ROU,MF,28,1,0,0
Timothée Kolodziejczak,Schalke 04,FRA,DF,31,1,0,0
Sidi Sané,Schalke 04,GER,FW,19,1,0,0
Justin Heekeren,Schalke 04,GER,GK,22,0,0,0
Keke Maximilian Topp,Schalke 04,GER,FW,18,0,0,0
Joey Paul Müller,Schalke 04,GER,MF,22,0,0,0
Julius Schell,Schalke 04,GER,MF,23,0,0,0
